DTC,DTD,Time,Val,Unit,Year
HQ0,MANUAL-Observed Discharge,2019-11-14 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-15 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-16 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-17 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-18 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-19 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-20 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-21 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-22 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-23 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-24 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-25 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-26 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-27 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-28 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-29 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-11-30 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-01 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-02 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-03 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-04 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-05 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-06 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-07 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-08 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-09 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-10 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-11 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-12 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-13 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-14 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-15 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-16 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-17 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-18 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-19 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-20 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-21 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-22 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-23 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-24 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-25 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-26 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-27 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-28 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-29 08:00:00,0.05,m3/sec,2019
HQ0,MANUAL-Observed Discharge,2019-12-30 08:00:00,0.05,m3/sec,2019
